      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm
         10.970          4.779         -0.212         -0.873
         11.070          4.917         -0.209         -0.843
         11.170          5.059         -0.205         -0.815
         11.270          5.202         -0.201         -0.788
         11.380          5.361         -0.197         -0.759
         11.480          5.504         -0.192         -0.735
         11.590          5.659         -0.188         -0.709
         11.700          5.806         -0.184         -0.684
         11.810          5.941         -0.180         -0.660
         11.920          6.056         -0.176         -0.637
         12.040          6.149         -0.173         -0.614
         12.160          6.191         -0.170         -0.591
         12.280          6.162         -0.169         -0.569
         12.400          6.037         -0.168         -0.548
         12.530          5.759         -0.167         -0.526
         12.650          5.336         -0.168         -0.507
         12.780          4.665         -0.170         -0.487
         12.920          3.673         -0.172         -0.466
         13.050          2.514         -0.174         -0.447
         13.190          1.072         -0.177         -0.428
         13.330         -0.454         -0.180         -0.410
         13.480         -2.023         -0.182         -0.391
         13.630         -3.375         -0.184         -0.372
         13.780         -4.424         -0.185         -0.355
         13.930         -5.155         -0.185         -0.337
         14.090         -5.625         -0.182         -0.320
         14.250         -5.845         -0.179         -0.303
         14.420         -5.885         -0.172         -0.286
         14.590         -5.794         -0.164         -0.269
         14.760         -5.626         -0.154         -0.253
         14.940         -5.401         -0.141         -0.236
         15.120         -5.156         -0.126         -0.220
         15.310         -4.892         -0.110         -0.204
         15.500         -4.633         -0.091         -0.188
         15.700         -4.374         -0.071         -0.172
         15.900         -4.131         -0.051         -0.156
         16.100         -3.905         -0.030         -0.141
         16.320         -3.676         -0.008         -0.125
         16.530         -3.475          0.012         -0.109
         16.760         -3.274          0.032         -0.093
         16.990         -3.091          0.051         -0.077
         17.220         -2.924          0.066         -0.061
         17.470         -2.758          0.078         -0.044
         17.720         -2.608          0.086         -0.028
         17.970         -2.471          0.088         -0.011
         18.240         -2.335          0.084          0.006
         18.510         -2.212          0.072          0.024
         18.790         -2.095          0.050          0.043
         19.080         -1.985          0.017          0.062
         19.380         -1.881         -0.029          0.082
         19.680         -1.786         -0.085          0.103
         20.000         -1.693         -0.158          0.127
         20.330         -1.605         -0.243          0.152
         20.670         -1.523         -0.340          0.179
         21.020         -1.445         -0.445          0.210
         21.380         -1.372         -0.555          0.245
         21.760         -1.301         -0.666          0.286
         22.140         -1.236         -0.769          0.333
