      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm
          4.290         -2.365         -3.401         -2.408
          4.300         -2.349         -3.381         -2.392
          4.310         -2.334         -3.360         -2.376
          4.320         -2.318         -3.340         -2.361
          4.330         -2.303         -3.320         -2.345
          4.340         -2.288         -3.300         -2.330
          4.350         -2.273         -3.281         -2.314
          4.360         -2.258         -3.261         -2.299
          4.370         -2.243         -3.242         -2.284
          4.380         -2.228         -3.222         -2.269
          4.390         -2.213         -3.203         -2.254
          4.400         -2.199         -3.184         -2.240
          4.410         -2.184         -3.165         -2.225
          4.420         -2.170         -3.146         -2.210
          4.430         -2.156         -3.127         -2.196
          4.440         -2.141         -3.109         -2.181
          4.450         -2.127         -3.090         -2.167
          4.460         -2.113         -3.072         -2.153
          4.470         -2.099         -3.054         -2.139
          4.480         -2.086         -3.036         -2.125
          4.490         -2.072         -3.018         -2.111
          4.500         -2.058         -3.000         -2.097
          4.510         -2.045         -2.982         -2.083
          4.520         -2.031         -2.965         -2.070
          4.530         -2.018         -2.947         -2.056
          4.540         -2.005         -2.930         -2.043
          4.550         -1.991         -2.913         -2.030
          4.560         -1.978         -2.895         -2.016
          4.570         -1.965         -2.878         -2.003
          4.580         -1.952         -2.861         -1.990
          4.590         -1.939         -2.845         -1.977
          4.600         -1.927         -2.828         -1.964
          4.610         -1.914         -2.811         -1.951
          4.620         -1.901         -2.795         -1.938
          4.630         -1.889         -2.779         -1.926
          4.640         -1.876         -2.762         -1.913
          4.650         -1.864         -2.746         -1.901
          4.660         -1.852         -2.730         -1.888
          4.670         -1.840         -2.714         -1.876
          4.680         -1.827         -2.698         -1.864
          4.690         -1.815         -2.682         -1.851
          4.700         -1.803         -2.667         -1.839
          4.710         -1.792         -2.651         -1.827
          4.720         -1.780         -2.636         -1.815
          4.730         -1.768         -2.620         -1.803
          4.740         -1.756         -2.605         -1.792
          4.750         -1.745         -2.590         -1.780
          4.760         -1.733         -2.575         -1.768
          4.770         -1.722         -2.560         -1.757
          4.780         -1.710         -2.545         -1.745
          4.790         -1.699         -2.530         -1.734
          4.800         -1.688         -2.516         -1.722
          4.810         -1.677         -2.501         -1.711
          4.820         -1.666         -2.487         -1.700
          4.830         -1.655         -2.472         -1.688
          4.840         -1.644         -2.458         -1.677
          4.850         -1.633         -2.444         -1.666
          4.860         -1.622         -2.429         -1.655
          4.870         -1.611         -2.415         -1.645
          4.880         -1.601         -2.401         -1.634
          4.890         -1.590         -2.387         -1.623
          4.900         -1.579         -2.374         -1.612
          4.910         -1.569         -2.360         -1.602
          4.920         -1.558         -2.346         -1.591
          4.930         -1.548         -2.333         -1.581
          4.940         -1.538         -2.319         -1.570
          4.950         -1.527         -2.306         -1.560
          4.960         -1.517         -2.292         -1.549
          4.970         -1.507         -2.279         -1.539
          4.980         -1.497         -2.266         -1.529
          4.990         -1.487         -2.253         -1.519
          5.000         -1.477         -2.240         -1.509
          5.010         -1.467         -2.227         -1.499
          5.020         -1.458         -2.214         -1.489
          5.030         -1.448         -2.201         -1.479
          5.040         -1.438         -2.189         -1.469
          5.050         -1.428         -2.176         -1.459
          5.060         -1.419         -2.164         -1.450
          5.070         -1.409         -2.151         -1.440
          5.080         -1.400         -2.139         -1.430
          5.090         -1.390         -2.126         -1.421
          5.100         -1.381         -2.114         -1.411
          5.110         -1.372         -2.102         -1.402
          5.120         -1.362         -2.090         -1.393
          5.130         -1.353         -2.078         -1.383
          5.140         -1.344         -2.066         -1.374
          5.150         -1.335         -2.054         -1.365
          5.160         -1.326         -2.042         -1.356
          5.170         -1.317         -2.030         -1.347
          5.180         -1.308         -2.019         -1.337
          5.190         -1.299         -2.007         -1.328
