      freq (eV)         Mostep         Lor-Dr      Bren-Borm
          0.195          0.244          2.015          0.174
          0.195          0.670          0.000          0.000
          0.197          0.765         13.020         -0.715
          0.197          2.412          1.241          0.516
          0.197          0.093          0.659          1.796
          0.197          2.142          2.649          1.812
          0.197          0.244          2.015          0.174
          0.197          0.670          0.000          0.000
          0.199          0.765         13.049         -0.828
          0.199          2.412          1.242          0.516
          0.199          0.093          0.659          1.796
          0.199          2.142          2.649          1.813
          0.199          0.244          2.015          0.174
          0.199          0.670          0.000          0.000
          0.201          0.765         13.078         -0.932
          0.201          2.412          1.243          0.516
          0.201          0.093          0.660          1.796
          0.201          2.142          2.649          1.813
          0.201          0.244          2.015          0.174
          0.201          0.670          0.000          0.000
          0.203          0.765         13.106         -1.033
          0.203          2.412          1.244          0.516
          0.203          0.093          0.660          1.796
          0.203          2.142          2.649          1.813
          0.203          0.244          2.015          0.174
          0.203          0.670          0.000          0.000
          0.205          0.766         13.134         -1.132
          0.205          2.412          1.245          0.516
          0.205          0.093          0.660          1.796
          0.205          2.142          2.649          1.813
          0.205          0.244          2.015          0.174
          0.205          0.670          0.000          0.000
          0.207          0.766         13.162         -1.228
          0.207          2.412          1.247          0.516
          0.207          0.093          0.660          1.797
          0.207          2.142          2.650          1.813
          0.207          0.244          2.015          0.174
          0.207          0.670          0.000          0.000
          0.208          0.766         13.190         -1.321
          0.208          2.412          1.248          0.516
          0.208          0.093          0.660          1.797
          0.208          2.142          2.650          1.813
          0.208          0.244          2.015          0.174
          0.208          0.670          0.000          0.000
          0.210          0.766         13.218         -1.412
          0.210          2.412          1.249          0.516
          0.210          0.093          0.660          1.797
          0.210          2.142          2.650          1.813
          0.210          0.244          2.015          0.174
          0.210          0.670          0.000          0.000
          0.212          0.766         13.246         -1.501
          0.212          2.412          1.250          0.516
          0.212          0.093          0.660          1.797
          0.212          2.142          2.650          1.813
          0.212          0.244          2.015          0.174
          0.212          0.670          0.000          0.000
          0.214          0.766         13.275         -1.592
          0.214          2.412          1.252          0.516
          0.214          0.093          0.660          1.797
          0.214          2.142          2.650          1.813
          0.214          0.244          2.015          0.174
          0.214          0.670          0.000          0.000
          0.216          0.766         13.302         -1.677
          0.216          2.413          1.253          0.516
