      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm    Marachevsky          Drude
          1.675        -16.270        -20.881        -17.793        -15.908        -27.865
          1.698        -15.628        -20.082        -17.094        -15.259        -27.088
          1.722        -14.985        -19.281        -16.390        -14.606        -26.311
          1.746        -14.367        -18.511        -15.710        -13.975        -25.565
          1.771        -13.748        -17.741        -15.027        -13.340        -24.821
          1.797        -13.131        -16.972        -14.341        -12.704        -24.079
          1.823        -12.539        -16.233        -13.679        -12.089        -23.369
          1.851        -11.927        -15.470        -12.991        -11.452        -22.637
          1.879        -11.342        -14.739        -12.328        -10.837        -21.938
          1.907        -10.780        -14.038        -11.687        -10.245        -21.270
          1.937        -10.204        -13.317        -11.026         -9.634        -20.585
          1.968         -9.634        -12.604        -10.367         -9.027        -19.911
          2.000         -9.071        -11.899         -9.711         -8.425        -19.247
          2.033         -8.517        -11.203         -9.061         -7.830        -18.595
          2.066         -7.986        -10.537         -8.435         -7.259        -17.974
          2.101         -7.449         -9.861         -7.798         -6.679        -17.347
          2.138         -6.908         -9.178         -7.152         -6.094        -16.718
          2.175         -6.391         -8.525         -6.536         -5.537        -16.120
          2.214         -5.873         -7.867         -5.918         -4.979        -15.523
          2.254         -5.368         -7.222         -5.319         -4.437        -14.941
          2.296         -4.864         -6.575         -4.728         -3.901        -14.364
          2.339         -4.377         -5.944         -4.167         -3.386        -13.804
          2.384         -3.895         -5.314         -3.628         -2.884        -13.250
          2.431         -3.425         -4.689         -3.122         -2.398        -12.705
          2.480         -2.970         -4.072         -2.657         -1.932        -12.169
          2.530         -2.545         -3.478         -2.251         -1.501        -11.653
          2.583         -2.141         -2.892         -1.897         -1.089        -11.139
          2.638         -1.781         -2.334         -1.609         -0.711        -10.639
          2.695         -1.476         -1.822         -1.391         -0.369        -10.151
          2.755         -1.241         -1.371         -1.238         -0.061         -9.671
          2.818         -1.091         -1.021         -1.146          0.209         -9.199
          2.883         -1.029         -0.817         -1.102          0.435         -8.745
          2.952         -1.033         -0.784         -1.086          0.622         -8.294
          3.024         -1.060         -0.901         -1.075          0.767         -7.857
          3.100         -1.057         -1.075         -1.045          0.873         -7.428
          3.179         -0.993         -1.171         -0.978          0.941         -7.015
          3.263         -0.863         -1.121         -0.863          0.976         -6.607
          3.351         -0.691         -0.939         -0.709          0.981         -6.213
