energy, eV	Re eps	Im eps
2.384E+00	-4.170E+00	2.329E+00
2.431E+00	-3.390E+00	2.660E+00
2.480E+00	-2.655E+00	3.108E+00
2.530E+00	-2.028E+00	3.673E+00
2.583E+00	-1.578E+00	4.309E+00
2.638E+00	-1.340E+00	4.925E+00
2.695E+00	-1.273E+00	5.424E+00
2.755E+00	-1.273E+00	5.755E+00
2.818E+00	-1.246E+00	5.959E+00
2.883E+00	-1.178E+00	6.122E+00
2.952E+00	-1.120E+00	6.277E+00
3.024E+00	-1.110E+00	6.400E+00
3.100E+00	-1.120E+00	6.435E+00
3.179E+00	-1.087E+00	6.387E+00
3.263E+00	-9.727E-01	6.310E+00
3.351E+00	-7.843E-01	6.273E+00
3.444E+00	-5.906E-01	6.316E+00
3.542E+00	-4.523E-01	6.436E+00
3.647E+00	-4.066E-01	6.582E+00
3.757E+00	-4.687E-01	6.697E+00
3.874E+00	-6.137E-01	6.739E+00
3.999E+00	-7.970E-01	6.659E+00
4.133E+00	-9.615E-01	6.448E+00
4.201E+00	-5.245E-01	6.813E+00
4.301E+00	-5.754E-01	6.620E+00
4.400E+00	-6.858E-01	6.361E+00
4.501E+00	-7.140E-01	6.104E+00
4.601E+00	-7.661E-01	5.823E+00
4.701E+00	-7.925E-01	5.516E+00
4.801E+00	-7.935E-01	5.258E+00
4.901E+00	-6.631E-01	5.060E+00
5.000E+00	-4.742E-01	4.856E+00
5.101E+00	-3.436E-01	4.700E+00
5.202E+00	-2.416E-01	4.557E+00
5.302E+00	-1.427E-01	4.415E+00
5.401E+00	-7.037E-02	4.298E+00
5.502E+00	2.310E-01	4.384E+00
5.601E+00	6.864E-02	4.090E+00
5.701E+00	1.413E-01	3.992E+00
5.800E+00	1.901E-01	3.906E+00
5.902E+00	2.493E-01	3.832E+00
6.002E+00	3.164E-01	3.714E+00
6.200E+00	5.601E-01	3.468E+00
6.359E+00	6.589E-01	3.332E+00
6.527E+00	7.481E-01	3.239E+00
6.703E+00	8.539E-01	3.193E+00
6.889E+00	9.837E-01	3.190E+00
7.086E+00	1.105E+00	3.210E+00
7.294E+00	1.162E+00	3.251E+00
7.516E+00	1.091E+00	3.305E+00
7.750E+00	9.761E-01	3.280E+00
8.000E+00	8.748E-01	3.213E+00
8.267E+00	7.992E-01	3.127E+00
8.552E+00	7.351E-01	3.019E+00
8.858E+00	7.004E-01	2.916E+00
8.921E+00	6.975E-01	2.892E+00
8.986E+00	6.925E-01	2.870E+00
9.052E+00	6.897E-01	2.846E+00
9.118E+00	6.814E-01	2.818E+00
9.186E+00	6.744E-01	2.799E+00
9.254E+00	6.716E-01	2.776E+00
9.324E+00	6.729E-01	2.747E+00
9.394E+00	6.721E-01	2.720E+00
9.466E+00	6.692E-01	2.697E+00
9.539E+00	6.705E-01	2.668E+00
9.613E+00	6.661E-01	2.652E+00
9.688E+00	6.659E-01	2.631E+00
9.764E+00	6.670E-01	2.603E+00
9.842E+00	6.641E-01	2.580E+00
9.920E+00	6.632E-01	2.555E+00
1.000E+01	6.642E-01	2.527E+00
1.008E+01	6.613E-01	2.504E+00
1.016E+01	6.623E-01	2.477E+00
1.025E+01	6.651E-01	2.447E+00
1.033E+01	6.622E-01	2.424E+00
1.042E+01	6.630E-01	2.397E+00
1.051E+01	6.600E-01	2.375E+00
1.060E+01	6.676E-01	2.349E+00
1.069E+01	6.683E-01	2.323E+00
1.078E+01	6.615E-01	2.306E+00
1.088E+01	6.585E-01	2.284E+00
1.097E+01	6.579E-01	2.264E+00
1.107E+01	6.652E-01	2.239E+00
1.117E+01	6.731E-01	2.219E+00
1.127E+01	6.833E-01	2.200E+00
1.138E+01	6.910E-01	2.179E+00
1.148E+01	7.003E-01	2.156E+00
1.159E+01	7.126E-01	2.139E+00
1.170E+01	7.242E-01	2.118E+00
1.181E+01	7.329E-01	2.105E+00
1.192E+01	7.366E-01	2.090E+00
1.204E+01	7.438E-01	2.069E+00
1.216E+01	7.450E-01	2.052E+00
1.228E+01	7.479E-01	2.033E+00
1.240E+01	7.411E-01	2.006E+00
1.253E+01	7.255E-01	1.978E+00
1.265E+01	7.101E-01	1.949E+00
1.278E+01	6.916E-01	1.926E+00
1.292E+01	6.725E-01	1.898E+00
1.305E+01	6.491E-01	1.868E+00
1.319E+01	6.243E-01	1.840E+00
1.333E+01	6.022E-01	1.814E+00
1.348E+01	5.825E-01	1.789E+00
1.363E+01	5.684E-01	1.762E+00
1.378E+01	5.513E-01	1.740E+00
1.393E+01	5.376E-01	1.713E+00
1.409E+01	5.224E-01	1.688E+00
1.425E+01	5.111E-01	1.664E+00
1.442E+01	5.004E-01	1.643E+00
1.459E+01	4.977E-01	1.624E+00
1.476E+01	4.908E-01	1.603E+00
1.494E+01	4.901E-01	1.587E+00
1.512E+01	4.910E-01	1.568E+00
1.531E+01	4.954E-01	1.549E+00
1.550E+01	5.038E-01	1.533E+00
1.570E+01	5.107E-01	1.519E+00
1.590E+01	5.239E-01	1.501E+00
1.610E+01	5.404E-01	1.482E+00
1.632E+01	5.525E-01	1.469E+00
1.653E+01	5.715E-01	1.454E+00
1.676E+01	5.916E-01	1.447E+00
1.699E+01	6.097E-01	1.438E+00
1.722E+01	6.333E-01	1.439E+00
1.747E+01	6.612E-01	1.442E+00
1.772E+01	6.959E-01	1.458E+00
1.797E+01	7.213E-01	1.480E+00
1.824E+01	7.535E-01	1.521E+00
1.851E+01	7.840E-01	1.562E+00
1.879E+01	8.096E-01	1.596E+00
1.908E+01	8.299E-01	1.640E+00
1.938E+01	8.057E-01	1.689E+00
1.968E+01	7.669E-01	1.730E+00
2.000E+01	7.204E-01	1.765E+00
2.033E+01	6.539E-01	1.803E+00
2.067E+01	5.778E-01	1.810E+00
2.102E+01	4.883E-01	1.801E+00
2.138E+01	4.041E-01	1.777E+00
2.176E+01	3.220E-01	1.737E+00
2.214E+01	2.511E-01	1.671E+00
2.255E+01	1.969E-01	1.596E+00
2.296E+01	1.566E-01	1.510E+00
2.340E+01	1.601E-01	1.415E+00
2.385E+01	2.128E-01	1.291E+00
2.431E+01	2.566E-01	1.195E+00
2.480E+01	3.065E-01	1.097E+00
2.531E+01	3.557E-01	1.015E+00
2.583E+01	3.965E-01	9.560E-01
