      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm    Marachevsky          Drude
          2.952          4.890          6.007          5.507          4.117          0.076
          3.024          4.950          6.340          5.592          4.355          0.070
          3.100          4.920          6.470          5.621          4.577          0.065
          3.179          4.841          6.416          5.611          4.776          0.061
          3.263          4.759          6.284          5.591          4.951          0.056
          3.351          4.710          6.186          5.589          5.096          0.052
          3.444          4.711          6.186          5.631          5.210          0.048
          3.542          4.761          6.295          5.728          5.290          0.044
          3.647          4.851          6.498          5.879          5.337          0.040
          3.757          4.958          6.742          6.058          5.351          0.037
          3.874          5.057          6.967          6.239          5.332          0.033
          3.999          5.117          7.096          6.391          5.285          0.030
          4.133          5.104          7.053          6.486          5.210          0.028
          4.201          5.061          6.957          6.505          5.165          0.026
          4.301          4.955          6.738          6.499          5.092          0.024
          4.400          4.803          6.454          6.459          5.014          0.023
          4.501          4.607          6.126          6.389          4.932          0.021
          4.601          4.383          5.793          6.297          4.847          0.020
          4.701          4.139          5.474          6.191          4.761          0.019
          4.801          3.887          5.187          6.077          4.675          0.018
          4.901          3.633          4.939          5.962          4.589          0.017
          5.000          3.387          4.737          5.850          4.505          0.016
          5.101          3.146          4.573          5.742          4.420          0.015
          5.202          2.920          4.440          5.642          4.336          0.014
          5.302          2.711          4.321          5.552          4.256          0.013
          5.401          2.521          4.196          5.469          4.177          0.012
          5.502          2.342          4.054          5.390          4.100          0.012
          5.601          2.183          3.909          5.315          4.025          0.011
          5.701          2.037          3.771          5.238          3.952          0.010
          5.800          1.906          3.653          5.159          3.882          0.010
          5.902          1.784          3.553          5.070          3.812          0.009
          6.002          1.677          3.477          4.973          3.745          0.009
          6.200          1.495          3.378          4.743          3.618          0.008
          6.359          1.374          3.334          4.517          3.522          0.008
          6.527          1.268          3.310          4.236          3.425          0.007
          6.703          1.176          3.302          3.902          3.328          0.006
          6.889          1.097          3.303          3.514          3.232          0.006
          7.086          1.031          3.309          3.081          3.135          0.005
          7.294          0.978          3.313          2.618          3.039          0.005
          7.516          0.937          3.310          2.142          2.943          0.005
          7.750          0.911          3.293          1.682          2.847          0.004
          8.000          0.898          3.257          1.257          2.752          0.004
          8.267          0.901          3.197          0.889          2.657          0.003
          8.552          0.923          3.109          0.591          2.562          0.003
          8.858          0.969          2.993          0.367          2.468          0.003
          8.921          0.981          2.967          0.332          2.449          0.003
          8.986          0.995          2.940          0.298          2.430          0.003
          9.052          1.011          2.911          0.268          2.412          0.003
          9.118          1.027          2.882          0.240          2.393          0.003
          9.186          1.046          2.852          0.214          2.374          0.003
          9.254          1.066          2.822          0.191          2.356          0.002
          9.324          1.088          2.790          0.170          2.337          0.002
          9.394          1.111          2.758          0.151          2.318          0.002
          9.466          1.137          2.725          0.134          2.300          0.002
          9.539          1.166          2.692          0.119          2.281          0.002
          9.613          1.197          2.658          0.105          2.263          0.002
          9.688          1.230          2.624          0.093          2.244          0.002
          9.764          1.267          2.590          0.083          2.225          0.002
          9.842          1.308          2.555          0.073          2.207          0.002
          9.920          1.351          2.521          0.065          2.189          0.002
         10.000          1.399          2.486          0.058          2.170          0.002
         10.080          1.451          2.452          0.052          2.152          0.002
         10.160          1.506          2.419          0.047          2.134          0.002
         10.250          1.574          2.382          0.042          2.114          0.002
         10.330          1.639          2.351          0.038          2.097          0.002
         10.420          1.718          2.316          0.034          2.078          0.002
         10.510          1.804          2.283          0.031          2.059          0.002
         10.600          1.898          2.251          0.029          2.041          0.002
         10.690          2.001          2.220          0.026          2.023          0.002
         10.780          2.113          2.190          0.025          2.005          0.002
         10.880          2.249          2.159          0.023          1.986          0.002
         10.970          2.384          2.132          0.021          1.969          0.001
         11.070          2.550          2.103          0.020          1.950          0.001
         11.170          2.733          2.077          0.019          1.932          0.001
         11.270          2.936          2.051          0.018          1.914          0.001
         11.380          3.186          2.025          0.017          1.894          0.001
         11.480          3.440          2.002          0.016          1.877          0.001
         11.590          3.752          1.979          0.015          1.859          0.001
         11.700          4.104          1.958          0.015          1.840          0.001
         11.810          4.501          1.937          0.014          1.822          0.001
         11.920          4.946          1.918          0.014          1.805          0.001
         12.040          5.494          1.898          0.013          1.786          0.001
         12.160          6.111          1.880          0.012          1.768          0.001
         12.280          6.799          1.862          0.012          1.750          0.001
         12.400          7.555          1.845          0.012          1.732          0.001
         12.530          8.438          1.827          0.011          1.714          0.001
         12.650          9.288          1.811          0.011          1.697          0.001
         12.780         10.198          1.793          0.010          1.679          0.001
         12.920         11.087          1.774          0.010          1.660          0.001
         13.050         11.735          1.756          0.010          1.643          0.001
         13.190         12.141          1.736          0.009          1.625          0.001
         13.330         12.177          1.716          0.009          1.607          0.001
         13.480         11.799          1.693          0.009          1.589          0.001
         13.630         11.064          1.670          0.008          1.571          0.001
         13.780         10.100          1.646          0.008          1.553          0.001
         13.930          9.038          1.622          0.008          1.536          0.001
         14.090          7.916          1.597          0.007          1.518          0.001
         14.250          6.876          1.571          0.007          1.500          0.001
         14.420          5.902          1.545          0.007          1.482          0.001
         14.590          5.070          1.520          0.007          1.464          0.001
         14.760          4.369          1.497          0.007          1.447          0.001
         14.940          3.752          1.474          0.006          1.429          0.001
         15.120          3.242          1.453          0.006          1.411          0.001
         15.310          2.799          1.434          0.006          1.393          0.001
         15.500          2.434          1.419          0.006          1.376          0.001
         15.700          2.117          1.406          0.006          1.358          0.001
         15.900          1.855          1.397          0.006          1.340          0.000
         16.100          1.636          1.392          0.006          1.323          0.000
         16.320          1.436          1.391          0.005          1.305          0.000
